s1,s2,comparison,method,target_null,n_samples,n_pairs,repeats,k,n_test_examples,accuracy_mean,accuracy_median,accuracy_minimum,accuracy_maximum,p_value_mean,p_value_median,p_value_minimum,p_value_maximum,rejection_count,rejection_rate,alpha,result_file
20,10,s-s,paired_swap_permutation,,71,35,100,5,36,0.4994444444444445,0.5,0.3611111111111111,0.6388888888888888,0.56428,0.596,0.005,0.996,2,0.02,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__permutation__repeats-100__seed-0__20260817T201216869122Z.json
20,10,p-p,original_binomial_c2st,H0_dist: P_A = P_B,71,35,100,5,36,0.41527777777777786,0.4166666666666667,0.25,0.6388888888888888,0.8136600443578209,0.8785075229825452,0.06624908198136838,0.9994033785187639,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181036491494Z.json
20,10,p-p,paired_mcnemar,H0_dist: P_A = P_B,71,35,100,5,36,0.5030555555555556,0.5,0.3611111111111111,0.6666666666666666,0.6136572265625,0.65625,0.0546875,1.0,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181036634861Z.json
20,10,p-p,paired_swap_permutation,,71,35,100,5,36,0.5030555555555556,0.5,0.3611111111111111,0.6666666666666666,0.55272,0.581,0.029,0.981,3,0.03,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-10__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__permutation__repeats-100__seed-0__20260817T201234897473Z.json
20,20,s-p,original_binomial_c2st,H0_dist: P_A = P_B,53,53,100,7,52,1.0,1.0,1.0,1.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181036887078Z.json
20,20,s-p,paired_mcnemar,H0_dist: P_A = P_B,53,53,100,7,52,1.0,1.0,1.0,1.0,1.4901161193847656e-08,1.4901161193847656e-08,1.4901161193847656e-08,1.4901161193847656e-08,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181036997338Z.json
20,20,s-p,paired_swap_permutation,,53,53,100,7,52,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__s-p__resnet34__knn__permutation__repeats-100__seed-0__20260817T201503110298Z.json
20,20,s-p-matched,original_binomial_c2st,H0_dist: P_A = P_B,53,26,100,5,26,1.0,1.0,1.0,1.0,1.4901161193847656e-08,1.4901161193847656e-08,1.4901161193847656e-08,1.4901161193847656e-08,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181036948310Z.json
20,20,s-p-matched,paired_mcnemar,H0_dist: P_A = P_B,53,26,100,5,26,1.0,1.0,1.0,1.0,0.0001220703125,0.0001220703125,0.0001220703125,0.0001220703125,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181037110371Z.json
20,20,s-p-matched,paired_swap_permutation,,53,26,100,5,26,1.0,1.0,1.0,1.0,0.0010000000000000002,0.001,0.001,0.001,100,1.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__s-p-matched__resnet34__knn__permutation__repeats-100__seed-0__20260817T201326481673Z.json
20,20,s-s,original_binomial_c2st,H0_dist: P_A = P_B,53,26,100,5,26,0.38846153846153847,0.38461538461538464,0.23076923076923078,0.5769230769230769,0.8617797076702118,0.9156812280416489,0.2785985469818115,0.9987530410289764,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181037344990Z.json
20,20,s-s,paired_mcnemar,H0_dist: P_A = P_B,53,26,100,5,26,0.5042307692307693,0.5,0.38461538461538464,0.6923076923076923,0.6691796875,0.6875,0.03125,1.0,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181037409927Z.json
20,20,s-s,paired_swap_permutation,,53,26,100,5,26,0.5042307692307693,0.5,0.38461538461538464,0.6923076923076923,0.5675999999999999,0.6114999999999999,0.003,0.987,2,0.02,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__s-s__resnet34__knn__permutation__repeats-100__seed-0__20260817T201419772462Z.json
20,20,p-p,original_binomial_c2st,H0_dist: P_A = P_B,53,26,100,5,26,0.4103846153846154,0.4230769230769231,0.23076923076923078,0.6923076923076923,0.8068853422999382,0.8365302085876465,0.03775934875011444,0.9987530410289764,1,0.01,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__original_binomial_c2st__repeats-100__seed-0__20260821T181037464016Z.json
20,20,p-p,paired_mcnemar,H0_dist: P_A = P_B,53,26,100,5,26,0.5019230769230769,0.5,0.3076923076923077,0.6538461538461539,0.6432421875,0.65625,0.0625,1.0,0,0.0,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__paired_mcnemar__repeats-100__seed-0__20260821T181037581340Z.json
20,20,p-p,paired_swap_permutation,,53,26,100,5,26,0.5019230769230769,0.5,0.3076923076923077,0.6538461538461539,0.5657800000000001,0.5914999999999999,0.047,0.997,2,0.02,0.05,newville_nov/hold_skip/hold_skip__s1-20__s2-20__c-73-104__u-35-66__pp-none/results/c2st__p-p__resnet34__knn__permutation__repeats-100__seed-0__20260817T201434113709Z.json
